PRC1_BMI_UP.V1_DN,PRC2_EED_DN.V1_DN,PRC2_EZH2_UP.V1_DN,PRC2_SUZ12_UP.V1_DN,PRC2_EED_DN.V1_UP,PRC2_EZH2_UP.V1_UP,PRC2_SUZ12_UP.V1_UP,PRC1_BMI_UP.V1_UP
SERPINA7,TRIM46,GRM4,P2RY10,GSTA3,ANKH,CYP4F12,CD5
COQ8B,FADS2,MYT1L,PTTG2,USP46,PTPRB,TRAF3IP1,RREB1
FBXL8,DCLRE1B,KCTD2,STXBP2,CNGA1,CDH13,GPC6,FOXG1
TBXT,RASSF1,DNA2,ADAMTS7,IRF8,ART3,IFNA1,EPS8L3
P2RX3,CHM,EPHX2,LRP5L,PRSS12,SLC2A3,CTSS,SCGB2A2
FGFR3,PC,BUB1,FMO6P,NR3C2,COL4A6,IPCEF1,KIF5A
FN3K,LIPE,SIGLEC5,GNGT2,TUFT1,ADGRL4,MINAR1,PGLYRP4
ZXDC,PDE4D,DDHD2,SERPINB4,RAB40B,UBE2O,ITGA2,KIR2DL4
LIPE,TUT1,GUCY1A2,UPK1A,CD244,DIPK1A,XK,EOGT
APOA1,CRYBG2,CENPU,MYOM1,PCGF3,TOR4A,NR0B2,IGHV1-69
HCN4,BUB1B,CDC45,UBQLN3,IL12A,AHNAK2,,IGHV1-69
CD207,SURF2,PSPH,ELP6,FAM224A,CLIP1,,
,SLC12A4,HJURP,KRT3,THNSL2,PDGFA,,
,RIPK1,INO80D,IGLL1,ARHGAP24,FZD1,,
,BTBD7,MS4A12,ATP2C2,RGR,CARD9,,
,PAGR1,LGALS7,CD22,SCTR,SCML1,,
,VAV2,SOGA1,IL1RN,,PIK3CB,,
,MAPK7,,,,,,
